id,name,webpage,address,lat,lon
1,"The National Art Center, Tokyo",https://www.nact.jp/english/,7-22-2 Roppongi Minato-ku Tokyo 106-8558 Japan,35.66529846191406,139.7263946533203
2,The National Museum of African American History and Culture,https://nmaahc.si.edu/,"1400 Constitution Avenue NW, Washington, DC 20560, United States",38.891088,-77.032601
3,The Mauritshuis,https://www.mauritshuis.nl/en/,"Plein 29, 2511 CS The Hague, The Netherlands",52.08044,4.31446
4,The Museo Nacional del Prado,https://www.museodelprado.es/en,"Calle de Ruiz de Alarcón, 23, 28014 Madrid, Spain",40.4135728,-3.6913432
5,The Bangkok National Museum,https://finearts.go.th/museumbangkok/,"Na Phra That Alley, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",13.75584,100.49221
6,The National Gallery of Canada,https://www.gallery.ca/,"380 Sussex Drive, Ottawa, ON, Canada",45.429556,-75.698893
7,The Acropolis Museum,https://www.theacropolismuseum.gr/en,"Dionysiou Areopagitou 15, 11742 Athens, Greece",37.96939,23.72908
8,The Latin American Art Museum of Buenos Aires,https://www.malba.org.ar/en/,"Av. Figueroa Alcorta 3415, C1425CLA Buenos Aires, Argentina",-34.56704,-58.41712
9,The Museum of New Zealand Te Papa Tongarewa,https://www.tepapa.govt.nz/,"55 Cable Street, Wellington, 6011, New Zealand",-41.291,174.78152
10,The Cape Town Holocaust & Genocide Centre,https://ctholocaust.co.za/,"88 Hatfield Street, Cape Town, 8001, South Africa",-33.93265,18.41446
